sentence,phonetic,audio_url,difficulty
I do n't often wear ball gowns .,/ˈaɪ ˈdu n't ˈɔfən ˈwɛr ˈbɔl ˈɡaʊnz/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843851/audio_file/level01/01_957e46e4-a.mp3,easy
He is the man whose daughter is missing .,/ˈhi ˈɪz ˈðə ˈmæn ˈhuz ˈdɔtər ˈɪz ˈmɪsɪŋ/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843852/audio_file/level01/01_4792c73d-9.mp3,easy
I wish I could have finished it .,/ˈaɪ ˈwɪʃ ˈaɪ ˈkʊd ˈhæv ˈfɪnɪʃt ˈɪt/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843853/audio_file/level01/01_5034b5b7-5.mp3,easy
Do n't wear khakis to the business meeting .,/ˈdu n't ˈwɛr ˈkækiz ˈtu ˈðə ˈbɪznəs ˈmitɪŋ/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843854/audio_file/level01/01_3b9e4cbd-8.mp3,easy
This huge store only has three cashiers !,/ˈðɪs ˈhjudʒ ˈstɔr ˈoʊnli ˈhæz ˈθri ˌkæˈʃɪrz/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843855/audio_file/level01/01_72edd91a-1.mp3,easy
Sugar was bad for Henry .,/ˈʃʊɡər ˈwɑz ˈbæd ˈfɔr ˈhɛnri/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843856/audio_file/level01/01_2e55c465-a.mp3,easy
There is no more water .,/ˈðɛr ˈɪz ˈnoʊ ˈmɔr ˈwɔtər/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843857/audio_file/level01/01_94c108dd-9.mp3,easy
He 's got a girlfriend .,/ˈhi ˈɛs ˈɡɑt ˈeɪ ˈɡərlˌfrɛnd/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843859/audio_file/level01/01_26904117-3.mp3,easy
The driver did n't know where to turn .,/ˈðə ˈdraɪvər ˈdɪd n't ˈnoʊ ˈhwɛr ˈtu ˈtərn/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843860/audio_file/level01/01_c01d8d8b-1.mp3,easy
Shall I teach you to dance ?,/ˈʃæl ˈaɪ ˈtitʃ ˈju ˈtu ˈdæns/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843861/audio_file/level01/01_6051fcef-e.mp3,easy
He asked the teacher what to do .,/ˈhi ˈæskt ˈðə ˈtitʃər ˈhwət ˈtu ˈdu/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843862/audio_file/level01/01_0e48d1ab-e.mp3,easy
I forgot to bring my umbrella .,/ˈaɪ fərˈɡɑt ˈtu ˈbrɪŋ ˈmaɪ ˈəmˌbrɛlə/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843863/audio_file/level01/01_487645e8-c.mp3,easy
We watch the Olympics on TV .,/ˈwi ˈwɑtʃ ˈðə oʊˈlɪmpɪks ˈɑn ˈtiˈvi/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843864/audio_file/level01/01_a9298672-c.mp3,easy
I wish I could be a scientist .,/ˈaɪ ˈwɪʃ ˈaɪ ˈkʊd ˈbi ˈeɪ ˈsaɪəntɪst/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843865/audio_file/level01/01_e477260f-3.mp3,easy
There is a photographer 's studio over there .,/ˈðɛr ˈɪz ˈeɪ fəˈtɑɡrəfər ˈɛs ˈstudiˌoʊ ˈoʊvər ˈðɛr/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843866/audio_file/level01/01_1346649d-e.mp3,easy
I wish it could be different .,/ˈaɪ ˈwɪʃ ˈɪt ˈkʊd ˈbi ˈdɪfərənt/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843867/audio_file/level01/01_d559b0f9-b.mp3,easy
Have you met our brother ?,/ˈhæv ˈju ˈmɛt ˈaʊər ˈbrəðər/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843868/audio_file/level01/01_3d94ad63-a.mp3,easy
I was called twice about it .,/ˈaɪ ˈwɑz ˈkɔld ˈtwaɪs əˈbaʊt ˈɪt/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843869/audio_file/level01/01_c648865f-f.mp3,easy
She cooks for her little brother .,/ˈʃi ˈkʊks ˈfɔr ˈhər ˈlɪtəl ˈbrəðər/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843870/audio_file/level01/01_66d9d507-a.mp3,easy
We have n't met yet .,/ˈwi ˈhæv n't ˈmɛt ˈjɛt/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843872/audio_file/level01/01_42eee6b7-4.mp3,easy
She went looking for her dog .,/ˈʃi ˈwɛnt ˈlʊkɪŋ ˈfɔr ˈhər ˈdɔɡ/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843873/audio_file/level01/01_652f2a7e-d.mp3,easy
We are against elephant hunting .,/ˈwi ˈɑr əˈɡeɪnst ˈɛləfənt ˈhəntɪŋ/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843876/audio_file/level01/01_9a689a8a-6.mp3,easy
I wish I knew who broke in to our house .,/ˈaɪ ˈwɪʃ ˈaɪ ˈnju ˈhu ˈbroʊk ˈɪn ˈtu ˈaʊər ˈhaʊs/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843877/audio_file/level01/01_b4981ff4-3.mp3,easy
I ca n't read all of these books .,/ˈaɪ ˈkɑ n't ˈrɛd ˈɔl ˈəv ˈðiz ˈbʊks/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843878/audio_file/level01/01_91b5c2b9-2.mp3,easy
The teacher loves picking on me .,/ˈðə ˈtitʃər ˈləvz ˈpɪkɪŋ ˈɑn ˈmi/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843880/audio_file/level01/01_ac3eac83-f.mp3,easy
She sat at the table in front of ours .,/ˈʃi ˈsæt ˈæt ˈðə ˈteɪbəl ˈɪn ˈfrənt ˈəv ˈaʊərz/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843881/audio_file/level01/01_37380f90-2.mp3,easy
I have n't changed anything .,/ˈaɪ ˈhæv n't ˈtʃeɪndʒd ˈɛniˌθɪŋ/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843882/audio_file/level01/01_80255794-2.mp3,easy
Would you hand me that white one ?,/ˈwʊd ˈju ˈhænd ˈmi ˈðæt ˈhwaɪt ˈwən/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843883/audio_file/level01/01_f36be433-7.mp3,easy
Have you just arrived ?,/ˈhæv ˈju ˈdʒəst ərˈaɪvd/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843884/audio_file/level01/01_a2def40c-5.mp3,easy
She had a beautiful necklace around her neck .,/ˈʃi ˈhæd ˈeɪ ˈbjutəfəl ˈnɛkləs ərˈaʊn ˈhər ˈnɛk/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843886/audio_file/level01/01_a8708acd-1.mp3,easy
John knew they were bad people .,/ˈdʒɑn ˈnju ˈðeɪ ˈwər ˈbæd ˈpipəl/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843887/audio_file/level01/01_d870bce7-c.mp3,easy
Were there dogs at the park ?,/ˈwər ˈðɛr ˈdɑɡz ˈæt ˈðə ˈpɑrk/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843888/audio_file/level01/01_b659ae08-9.mp3,easy
The trees planted last year look great .,/ˈðə ˈtriz ˈplæntɪd ˈlæs ˈjɪr ˈlʊk ˈɡreɪt/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843889/audio_file/level01/01_d5d6e840-7.mp3,easy
Can you keep a secret ?,/ˈkæn ˈju ˈkip ˈeɪ ˈsikrət/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843890/audio_file/level01/01_03103738-3.mp3,easy
We went to look for food .,/ˈwi ˈwɛnt ˈtu ˈlʊk ˈfɔr ˈfud/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843893/audio_file/level01/01_3d2c9ee9-2.mp3,easy
