sentence,phonetic,audio_url,difficulty
"It's OK with me.","/ˈɪts ˈoʊˈkeɪ ˈwɪð ˈmi/","https://audio.tatoeba.org/sentences/eng/253066.mp3","pending"
"It's okay to go.","/ˈɪts ˌoʊˈkeɪ ˈtu ˈɡoʊ/","https://audio.tatoeba.org/sentences/eng/518554.mp3","pending"
"It's time to go.","/ˈɪts ˈtaɪm ˈtu ˈɡoʊ/","https://audio.tatoeba.org/sentences/eng/266757.mp3","pending"
"Just do it, Tom.","/ˈdʒəst ˈdu ˈɪt ˈtɑm/","https://audio.tatoeba.org/sentences/eng/2648994.mp3","pending"
"Lead is a metal.","/ˈɫɛd ˈɪz ˈeɪ ˈmɛtəɫ/","https://audio.tatoeba.org/sentences/eng/1335021.mp3","pending"
"Let me go alone.","/ˈɫɛt ˈmi ˈɡoʊ əˈɫoʊn/","https://audio.tatoeba.org/sentences/eng/27652.mp3","pending"
"Let me taste it.","/ˈɫɛt ˈmi ˈteɪst ˈɪt/","https://audio.tatoeba.org/sentences/eng/3333981.mp3","pending"
"Let us help Tom.","/ˈɫɛt ˈəs ˈhɛɫp ˈtɑm/","https://audio.tatoeba.org/sentences/eng/3333884.mp3","pending"
"Let's get a cab.","/ˈɫɛts ˈɡɛt ˈeɪ ˈkæb/","https://audio.tatoeba.org/sentences/eng/1894546.mp3","pending"
"Let's go to bed.","/ˈɫɛts ˈɡoʊ ˈtu ˈbɛd/","https://audio.tatoeba.org/sentences/eng/1617818.mp3","pending"
"Life can be fun.","/ˈɫaɪf ˈkæn ˈbi ˈfən/","https://audio.tatoeba.org/sentences/eng/4495312.mp3","pending"
"Look at the sky.","/ˈɫʊk ˈæt ˈðə ˈskaɪ/","https://audio.tatoeba.org/sentences/eng/2648989.mp3","pending"
"May I borrow it?","/ˈmeɪ ˈaɪ ˈbɑˌɹoʊ ˈɪt/","https://audio.tatoeba.org/sentences/eng/2322084.mp3","pending"
"My book is here.","/ˈmaɪ ˈbʊk ˈɪz ˈhiɹ/","https://audio.tatoeba.org/sentences/eng/3107608.mp3","pending"
"My suit is gray.","/ˈmaɪ ˈsut ˈɪz ˈɡɹeɪ/","https://audio.tatoeba.org/sentences/eng/456473.mp3","pending"
"No one can tell.","/ˈnoʊ ˈwən ˈkæn ˈtɛɫ/","https://audio.tatoeba.org/sentences/eng/276491.mp3","pending"
"No one has come.","/ˈnoʊ ˈwən ˈhæz ˈkəm/","https://audio.tatoeba.org/sentences/eng/4496720.mp3","pending"
"Now go have fun.","/ˈnaʊ ˈɡoʊ ˈhæv ˈfən/","https://audio.tatoeba.org/sentences/eng/2852133.mp3","pending"
"Now we know why.","/ˈnaʊ ˈwi ˈnoʊ ˈhwaɪ/","https://audio.tatoeba.org/sentences/eng/4500505.mp3","pending"
"Pick me up 2:30.","/ˈpɪk ˈmi ˈəp 230/","https://audio.tatoeba.org/sentences/eng/3732155.mp3","pending"
"Put your hat on.","/ˈpʊt ˈjɔɹ ˈhæt ˈɑn/","https://audio.tatoeba.org/sentences/eng/321117.mp3","pending"
"See you at work.","/ˈsi ˈju ˈæt ˈwɝk/","https://audio.tatoeba.org/sentences/eng/2648980.mp3","pending"
"She got up late.","/ˈʃi ˈɡɑt ˈəp ˈɫeɪt/","https://audio.tatoeba.org/sentences/eng/313150.mp3","pending"
"She is not tall.","/ˈʃi ˈɪz ˈnɑt ˈtɔɫ/","https://audio.tatoeba.org/sentences/eng/437589.mp3","pending"
"She talks a lot.","/ˈʃi ˈtɔks ˈeɪ ˈɫɑt/","https://audio.tatoeba.org/sentences/eng/312397.mp3","pending"
"She's on a roll.","/ˈʃiz ˈɑn ˈeɪ ˈɹoʊɫ/","https://audio.tatoeba.org/sentences/eng/317636.mp3","pending"
"Show me the way.","/ˈʃoʊ ˈmi ˈðə ˈweɪ/","https://audio.tatoeba.org/sentences/eng/3333872.mp3","pending"
"Slow down a bit.","/ˈsɫoʊ ˈdaʊn ˈeɪ ˈbɪt/","https://audio.tatoeba.org/sentences/eng/4502185.mp3","pending"
"Stay in the car.","/ˈsteɪ ˈɪn ˈðə ˈkɑɹ/","https://audio.tatoeba.org/sentences/eng/2173236.mp3","pending"
"Talk to my boss.","/ˈtɔk ˈtu ˈmaɪ ˈbɑs/","https://audio.tatoeba.org/sentences/eng/2648976.mp3","pending"
"That dog is big.","/ˈðæt ˈdɔɡ ˈɪz ˈbɪɡ/","https://audio.tatoeba.org/sentences/eng/68734.mp3","pending"
"That must be so.","/ˈðæt ˈməst ˈbi ˈsoʊ/","https://audio.tatoeba.org/sentences/eng/3735297.mp3","pending"
"That's all I do.","/ˈðæts ˈɔɫ ˈaɪ ˈdu/","https://audio.tatoeba.org/sentences/eng/3334027.mp3","pending"
