source_file,page,section,sentence,options_count,detected_question_number,detected_answer_letter,reason
38. Destination B1.choose-correct-answer.json,12,Choose the correct answer,You should take ...................... a sport and then you would get more exercise.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,12,Choose the correct answer,I'm trying to work! Could you please turn your music . ................. ?,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,12,Choose the correct answer,Just ask and I'm sure the other children will let you join ......................... .,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,12,Choose the correct answer,The referee sent David .........................for arguing with him. This is my favourite song! Turn it ...................... ! 5,3,5,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,12,Choose the correct answer,We can't afford to eat ...................... very often. I've decided to become a vegetarian and give ...................... meat. 8,3,8,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,15,Choose the correct answer,"When you rang, I ...................... my bike. Bused to practise",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,15,Choose the correct answer,"At my last basketball club, we .......................... every Saturday for three hours. 32 Leon never .......................... about it, but he was once a world champion skier. A were training Btraining Bis talking",3,32,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,15,Choose the correct answer,"I really ..................... the meal we had at your house last Tuesday. 33 I...................... like golf, but now I really like it.",3,33,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,15,Choose the correct answer,Denise...................... at the stadium until she finds a better job.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,17,J Choose the correct answer,"..................... never played this game before. 5 It's the first time .......................... our flat, isn't it?",2,5,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,17,J Choose the correct answer,Adam .......................... his room last night. 6 They ...................... the baby a name yet.,2,6,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,17,J Choose the correct answer,..................... here since 2005? 7 . .................... to New York when you went to the States last summer? A Have you lived B Did you live,2,7,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,17,J Choose the correct answer,Carol and I....................... to the cinema three nights ago. 8 .......................... an e-mail before? Look at the picture and use the prompts to write sentences. Use the correct form of the present perfect simple.,2,8,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,21,Choose the correct answer,Mum had ..................... her cup of tea for several minutes before she realised it had salt in it!,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,21,Choose the correct answer,We'd ..................... ready all day when they called to say the party had been cancelled.,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,27,Choose the correct answer,It's the first time .......................all the answers right in a test! 30 Clare hasn't finished her homework,4,30,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,30,Choose the correct answer,'Have you made plans for the summer?' 'Yes........................ to Spain.' ewe go,2,,,OPTION_COUNT_LOWER_THAN_PAGE_SECTION|ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,30,Choose the correct answer,'We're moving h ouse tomorrow.' 'Really?...................... you with th e furniture.',3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,30,Choose the correct answer,"'Do you need th is paint brush ?' 'Ah, yes........................... it to me, please?'",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,30,Choose the correct answer,"'Wh at do you want to be when you grow up, St evie?' .'......................... a scientist. That's what I want to do, anyway.'",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,39,Choose the correct answer,I ..................... around the world one day. 31 I think there's a picture of the hotel .......................... the first page. A travel Bam going to travel Bat,3,31,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,39,Choose the correct answer,Do you think Curtis ....................... the car race tomorrow? 32 We usually go away somewhere on holiday ..................... New Year. A will win Bwins Bat,3,32,,ANSWER_KEY_NOT_MATCHED
