sentence,options,answer,difficulty,question_type,audio_url
"A: Fun party, isn't it? \nB: Sure is. My _______(1) is Emma, by the way. \nA: It's nice to meet you, Emma. I'm Justin. \nB: _______(2) to meet you, Justin. Do you _______(3) in L.A.? \nA: No, I'm from San Francisco. I'm visiting my sister here. \nB: Oh, I love San Francisco. I go there sometimes for work. \nA: Really? Call me next time you're there. Let me give you my _______(4) number. \nB: Okay, hope to see you again! _______(5) a _______(6) time here in L.A.!",,"1:name | 2:Nice | 3:live | 4:phone | 5:Have | 6:great",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774445279/Tactics_for_Listening_Basic_CD1_06_doeerb.mp3
"A: What does your new boyfriend look like, Jenna? \nB: Well, he's really good looking. \nA: Oh? _______(1) he tall? \nB: _______(2), he _______(3). He's pretty short. \nA: Really? _______(4) you taller than him? \nB: No, we're about the same height. Let's see. . . and he has curly brown hair. \nA: He sounds cute. _______(5) _______(6) about your age? \nB: _______(7), he _______(8). And we have the same birthday!",,"1:Is | 2:No | 3:isn't | 4:Are | 5:Is | 6:he | 7:Yes | 8:is",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774445644/Tactics_for_Listening_Basic_CD1_11_qg90s2.mp3
"A: What are you going to wear to the party? \nB: I'm not sure. I might wear _______(1). \nA: Really? Ann and Liz are wearing dresses. \nB: Oh. Well, maybe I'll wear a black skirt. So, what are you _______(2) to _______(3)? \nA: Oh, probably nice _______(4) and a _______(5). \nB: But you don't have _______(6) _______(7), do you? \nA: Oh, that's right. Maybe I can borrow one.",,"1:jeans | 2:going | 3:wear | 4:pants | 5:tie | 6:any | 7:ties",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774445645/Tactics_for_Listening_Basic_CD1_17_v8cv4j.mp3
"A: You look tired, Jake.\nB: Yeah, I'm always tired. I have to get up at _______(1) every day.\nA: _______(2)? Why so early?\nB: Not _______(3), _______(4). Anyway, I go running before work, then I have to catch a _______(5) train to the city.\nA: Oh, I see. So, do you go to bed early?\nB: No, I'm a night owl. Last night I was up until _______(6).\nA: That's not enough sleep, Jake! Maybe you should get a new job.",,"1:five fifteen | 2:Five fifty | 3:five fifty | 4:five fifteen | 5:six fifty | 6:one fifteen",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774445645/Tactics_for_Listening_Basic_CD1_23_di9jof.mp3
"A: When are you going on vacation, Nick?\nB: We're leaving on _______(1) _______(2).\nA: And when are you coming back?\nB: On _______(3) _______(4).\nA: Oh, no. That means you'll miss my party on the _______(5).\nB: What do you mean? I'll be back before the _______(6).\nA: I said the _______(7), not the 27th, but maybe I can change the date. Are you free on the _______(8)?",,"1:August | 2:sixteenth | 3:August | 4:twenty-third | 5:twenty-second | 6:twenty-seventh | 7:twenty-second | 8:thirty-first",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774445646/Tactics_for_Listening_Basic_CD1_29_uvlj7l.mp3
"A: My job is so boring. I really don't like being a _______(1). \nB: Really? Maybe you should try something new. \nA: I don't know. I've always wanted to be an _______(2), but I'd have to go back to school. \nB: So do it! \nA: I can't. I need to _______(3) _______(4), so I can't quit my job. \nB: Could you work part time in an _______(5) and also take _______(6)? \nA: Well, maybe. I'll think about it.",,"1:receptionist | 2:architect | 3:make | 4:money | 5:office | 6:classes",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774445837/Tactics_for_Listening_Basic_CD1_35_dn9qex.mp3
"A: _______(1) _______(2) favorite TV show, Ryan?\nB: Oh, probably My Crazy Life.\nA: Really? _______(3) it _______(4)?\nB: Well, it’s a drama about a group of friends. It has a lot of romance.\nA: Huh. I've _______(5) _______(6) it. Who's in it?\nB: Max Fox and Lindsay Jones.\nA: Oh, Max is one of my _______(7) actors! When is it on?\nB: It’s on Thursdays at 9:00. Or you can watch it online.",,"1:What's | 2:your | 3:What's | 4:about | 5:never | 6:seen | 7:favorite",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774445834/Tactics_for_Listening_Basic_CD1_40_ra5s5o.mp3
"A: Do you _______(1) any _______(2), Nick?\nB: Yes, I love playing sports. But my _______(3) sport is _______(4).\nA: Really? Are you on a team?\nB: Yeah, I am. It’s a lot of _______(5).\nA: How _______(6) do you _______(7)?\nB: Oh, about _______(8) a _______(9) . So, how about you? Do you play sports?\nA: Well, it depends. Do you think playing video games is a sport?\nB: Umm. . . I’m not sure about _______(10).",,"1:play | 2:sports | 3:favorite | 4:volleyball | 5:fun | 6:often | 7:play | 8:twice | 9:week | 10:that",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774445834/Tactics_for_Listening_Basic_CD1_46_eys4xs.mp3
"A: Why _______(1) anyone ever clean up this mess? Have you seen my purse?\nB: _______(2) _______(3) usually keep it in the desk drawer?\nA: Yes, but it isn’t there now.\nB: Oh, there _______(4) _______(5), on the table.\nA: Oh, great. Thanks. Okay, now. . . do you know where my keys are?\nB: Well, I know _______(6) _______(7) on the hook where they belong.\nA: Wait a minute. . . uh, I think I left them in the car. But I _______(8) _______(9) where the car is!",,"1:doesn't | 2:Don't | 3:you | 4:it | 5:is | 6:they | 7:aren't | 8:don't | 9:know",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774445835/Tactics_for_Listening_Basic_CD2_07_dejmfg.mp3
"A: _______(1) _______(2) have a big family, Eva?\nB: Kind of. I have a younger brother and an older sister.\nA: Really? _______(3) old are they?\nB: Let's see. . . my brother is eighteen and my sister is twenty-five.\nA: Oh. _______(4) _______(5) _______(6) your sister do?\nB: She's a chef.\nA: A chef? What a cool job! How do _______(7) _______(8) her food?\nB: I haven't tried it, actually. She lives in California.",,"1:Do | 2:you | 3:How | 4:What | 5:does | 6:your | 7:you | 8:like",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774445836/Tactics_for_Listening_Basic_CD2_12_ni2fwi.mp3
"A: How about going to a movie on Saturday night?\nB: Saturday night? _______(1), I _______(2). I have to work.\nA: Oh, that's too bad.\nB: Yeah. I _______(3) _______(4) to the movies Friday night, though. Are you free then?\nA: Yes, I _______(5) _______(6). Can you check what's playing? I can't find my phone.\nB: Okay, let's see. . . How about The Monster's Return? There's a 7:30 show.\nA: That sounds good. Think _______(7) can _______(8) me a ride?\nB: Sure. I'll pick you up around 7:00. See you Friday.",,"1:Sorry | 2:can't | 3:can | 4:go | 5:think | 6:so | 7:you | 8:give",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774446137/Tactics_for_Listening_Basic_CD2_18_paxjnr.mp3
"A: Excuse me. I need a new computer. What's the price range for your laptops?\nB: Well, our lowest-priced laptop is only _______(1). Our highest-priced model costs _______(2).\nA: That's _______(3)! Can you tell me about the low-priced one?\nB: Well, it's fine for basic use, if you don't play games much.\nA: Well, I am a big gamer, but I don't want to spend over a _______(4) dollars, though.\nB: This model has a lot of power, and it only costs _______(5) dollars. It's very popular.\nA: Hmm, let me take a look.",,"1:three hundred twenty-nine ninety-nine | 2:two thousand one hundred ninety-nine ninety-nine | 3:expensive | 4:thousand | 5:nine hundred ninety-nine",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774446138/Tactics_for_Listening_Basic_CD2_23_yp1iyl.mp3
"A: How was your dinner, Evan?\nB: It _______(1) delicious! How about yours?\nA: Actually, it _______(2) _______(3). My vegetables were overcooked.\nB: Really?\nA: Yeah, and the potatoes weren't _______(4) enough.\nB: Oh, that's too bad. And you know, the service _______(5) _______(6) _______(7) fast as it usually is here.\nA: Yeah, I guess you're right. Let's eat somewhere else next time.",,"1:was | 2:wasn't | 3:great | 4:spicy | 5:wasn't | 6:as | 7:as",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774446140/Tactics_for_Listening_Basic_CD2_28_nfxsu0.mp3
"A: Hi, Angela! I haven't seen you for a long time. What's _______(1)?\nB: Oh, not much really. I've been studying a lot. What about you? _______(2) _______(3) you been up to?\nA: Uh, not much. I did visit Gina last week.\nB: Oh, nice. So, _______(4) _______(5) sister these days?\nA: She's fine, thanks.\nB: And _______(6) _______(7) your parents?\nA: Oh, they're pretty busy, but doing well.",,"1:new | 2:What | 3:have | 4:how's | 5:your | 6:how | 7:are",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774446140/Tactics_for_Listening_Basic_CD2_33_rjhh9j.mp3
