transcript,audio_url,difficulty
There are more than a hundred different kinds of liver disease .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805033/audio_file/level02/02_2af06d69-5.mp3,medium
Most oomycetes produce two types of spores .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805036/audio_file/level02/02_8d186863-9.mp3,medium
"Web browsers and web proxy servers employ web caches to store previous responses from web servers , such as web pages and images .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805039/audio_file/level03/03_d8607c40-f.mp3,hard
"It is well - known spa town , specialising in mud treatment for rheumatism and similar medical problems .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805042/audio_file/level03/03_5367a8ba-d.mp3,hard
The A $ 32 million first phase of a major upgrade began in 2010 and is expected to be completed during 2015 .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805044/audio_file/level02/02_bd750c33-6.mp3,medium
"After condensation and ignition of a star , it generates thermal energy in its dense core region through nuclear fusion of hydrogen into helium .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805047/audio_file/level03/03_3c0651b8-e.mp3,hard
"Viral populations do not grow through cell division , because they do not have cells .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805049/audio_file/level02/02_55c2f61c-7.mp3,medium
Over 100 ships or shipwrecks have been designated as NHLs .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805051/audio_file/level02/02_e8927921-d.mp3,medium
NGC 1569 is characterized by a large starburst .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805052/audio_file/level02/02_488894a0-0.mp3,medium
Students can also choose to attend a community college prior to further study at another college or university .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805056/audio_file/level02/02_c5323718-f.mp3,medium
"Old , Middle , and Late Egyptian were all written using both the hieroglyphic and hieratic scripts .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805058/audio_file/level03/03_3fefcce4-1.mp3,hard
This digital data is gathered and stored so that the physicist can later analyze the data and reconstruct the physics that occurred .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805060/audio_file/level02/02_582b2e6a-f.mp3,medium
"Many variations of ketchup were created , but the tomato - based version did not appear until about a century later after other types .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805063/audio_file/level02/02_5f4311dd-f.mp3,medium
There are 29 letters in the Vietnamese alphabet .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805065/audio_file/level02/02_fe1a5cfc-f.mp3,medium
An important advantage of hydroelectric dams is their ability to be used as a peaking power plant .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805067/audio_file/level03/03_3dff48f4-8.mp3,hard
"For some species sex is not determined by inheritance , but instead by environmental factors experienced during development or later in life .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805069/audio_file/level03/03_5cfae206-d.mp3,hard
"The region is rich in sea life , with more than 4,000 species of marine molluscs and a large diversity of marine fishes .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805072/audio_file/level03/03_2b812ba4-4.mp3,hard
Those who saw the apparition stood in the rain for up to two hours .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805074/audio_file/level02/02_231ebbd6-d.mp3,medium
"When in 2001 , the local community published its own findings about the forest 's sustainable management , it became an example of community involvement in a state - run management plan .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805077/audio_file/level02/02_3c910be7-1.mp3,medium
"If schizophrenia is caused by bad communication between mother and child , then family interaction studies become relevant .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805080/audio_file/level03/03_fce3039e-8.mp3,hard
The size of Irish elk antlers is distinctive .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805081/audio_file/level02/02_a9284451-6.mp3,medium
"The vagina is an elastic , muscular tube .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805083/audio_file/level03/03_d382439a-b.mp3,hard
The proliferation of this weapon is shown by more than just numbers .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805084/audio_file/level02/02_4db32fb0-3.mp3,medium
"Normal wear and tear includes pitting corrosion from cavitation , fatigue cracking , and abrasion from suspended solids in the water .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805087/audio_file/level03/03_372935d7-e.mp3,hard
"Spanish athletes have won a total of 154 medals , with sailing as the top medal - producing sport .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805089/audio_file/level02/02_8f97f202-8.mp3,medium
No firm dates can be assigned to this historical figure 's life or reign .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805091/audio_file/level02/02_cbcbd725-b.mp3,medium
"No firm dates can be assigned to this Emperor 's life or reign , but he is conventionally considered to have reigned from 456 to 479 .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805094/audio_file/level02/02_33a4f8bd-a.mp3,medium
"It flies slowly with its head facing downwards , looking for its main food , the large apple snails .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805096/audio_file/level02/02_210b096f-1.mp3,medium
"In the US , during the show 's final season on - air , the show was open-captioned ; this was intended as an aid to help younger children learn to read .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773805099/audio_file/level02/02_8c714db9-b.mp3,medium
When depicted he was usually drawn with a black and a yellow stripe painted across his face .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805101/audio_file/level02/02_a8226f37-6.mp3,medium
There are many ways to define the size or diameter of a cluster .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805103/audio_file/level02/02_9d543f80-5.mp3,medium
