# DUPLICATE_LEFT_GUIDE
# Ghi lai cac dong bi loai do trung sentence_left voi dong da xuat hien truoc do
# === KHONG_CO_DONG_TRUNG ===: Khong co dong duplicate
source_file,mode,sentence_left,sentence_right,difficulty,conflict_with_source_file,conflict_with_mode
"Destination B1.json#22","destination","cut off","completely remove by cutting","easy","Destination B1.json#12","destination"
"Destination B1.json#22","destination","put on","start wearing (a piece of clothing)","easy","Destination B1.json#21","destination"
"Destination B1.json#22","destination","take off","remove (a piece of clothing)","easy","Destination B1.json#4","destination"
"Destination B1.json#27","destination","go on","continue happening or doing sth","easy","Destination B1.json#18","destination"
"Destination B1.json#31","destination","challenge","something that needs a lot of skill, energy, and determination to deal with or achieve","easy","Destination B1.json#31","destination"
"Destination B1.json#31","destination","defeat","failure to win a competition or to succeed in doing something","easy","Destination B1.json#31","destination"
"Destination B1.json#31","destination","interest","an activity that you enjoy doing when you are not working","easy","Destination B1.json#31","destination"
"Destination B1.json#31","destination","member","someone who belongs to a group or an organisation: a trade union member","easy","Destination B1.json#31","destination"
"Destination B1.json#31","destination","opponent","someone who is competing against you","easy","Destination B1.json#31","destination"
"Destination B1.json#31","destination","organise","to prepare or arrange an activity or event","easy","Destination B1.json#31","destination"
"Destination B1.json#32","destination","guess","an occasion when you say what you think is true without being certain","easy","Destination B1.json#32","destination"
"Destination B1.json#33","destination","mark","a score or grade that you are given for school work or for how you perform in a competition","easy","Destination B1.json#33","destination"
"Destination B1.json#33","destination","search","an attempt to find something","easy","Destination B1.json#33","destination"
"Destination B1.json#33","destination","coach","a comfortable bus for long journeys","easy","Destination B1.json#31","destination"
"Destination B1.json#33","destination","crash","an accident that happens when a vehicle hits something","easy","Destination B1.json#33","destination"
"Destination B1.json#34","destination","delay","a situation in which something happens later or more slowly than you expected","easy","Destination B1.json#34","destination"
"Destination B1.json#34","destination","nearby","not far from where you are","easy","Destination B1.json#34","destination"
"Destination B1.json#35","destination","rent","an amount of money that you pay regularly for using a house, room, office, etc that belongs to someone else","easy","Destination B1.json#35","destination"
"Destination B1.json#35","destination","respect","the attitude that someone is important and should be admired, and that you should treat them politely","easy","Destination B1.json#35","destination"
"Destination B1.json#36","destination","cost","the amount of money that you need in order to buy something or to do something","easy","Destination B1.json#36","destination"
"Destination B1.json#36","destination","purchase","something that you buy","easy","Destination B1.json#36","destination"
"Destination B1.json#37","destination","decrease","the amount by which something is less","easy","Destination B1.json#37","destination"
"Destination B1.json#37","destination","experiment","a scientific test to find out what happens to someone or something in particular conditions","easy","Destination B1.json#37","destination"
"Destination B1.json#37","destination","lack","a situation in which you do not have something, or do not have enough of something","easy","Destination B1.json#37","destination"
"Destination B1.json#38","destination","plastic","made of plastic","easy","Destination B1.json#38","destination"
"Destination B1.json#38","destination","program","a series of instructions that makes a computer do something","easy","Destination B1.json#38","destination"
"Destination B1.json#39","destination","broadcast","a programme that is broadcast","easy","Destination B1.json#39","destination"
"Destination B1.json#39","destination","contact","communication between people, countries, or organisations","easy","Destination B1.json#39","destination"
"Destination B1.json#39","destination","link","a connection between two or more people, places, facts, or events","easy","Destination B1.json#39","destination"
"Destination B1.json#39","destination","online","connected to the Internet","easy","Destination B1.json#39","destination"
"Destination B1.json#39","destination","pause","a short time when someone stops moving or doing something before starting again","easy","Destination B1.json#39","destination"
"Destination B1.json#39","destination","report","to provide information about something, especially to people in authority","easy","Destination B1.json#33","destination"
"Destination B1.json#39","destination","report","a spoken or written description of a particular subject, situation, or event","easy","Destination B1.json#33","destination"
"Destination B1.json#39","destination","request","an act of asking for something in a polite or formal way","easy","Destination B1.json#39","destination"
"Destination B1.json#39","destination","whisper","a very quiet way of saying something to someone so that other people cannot hear you","easy","Destination B1.json#39","destination"
"Destination B1.json#40","destination","criminal","relating to illegal acts","easy","Destination B1.json#40","destination"
"Destination B1.json#40","destination","protest","an occasion when people show strong public opposition to something","easy","Destination B1.json#40","destination"
"Destination B1.json#40","destination","routine","ordinary and not interesting or special","easy","Destination B1.json#40","destination"
"Destination B1.json#40","destination","vote","an official choice you make between two or more issues, people, etc, for example in an election","easy","Destination B1.json#40","destination"
"Destination B1.json#41","destination","interview","a meeting in which someone asks another person, especially a famous person, questions about themselves, their work, or their ideas","easy","Destination B1.json#41","destination"
"Destination B1.json#42","destination","tax","an amount of money that you have to pay to the government","easy","Destination B1.json#42","destination"
"Destination B1.json#42","destination","balance","a situation in which different aspects or features are treated equally or exist in the correct relationship to each other","easy","Destination B1.json#42","destination"
"Destination B1.json#42","destination","benefit","an advantage that you get from a situation","easy","Destination B1.json#42","destination"
"Destination B1.json#42","destination","cough","the action of coughing, or the sound that you make when you cough; an illness in which you cough a lot and your throat hurts","easy","Destination B1.json#42","destination"
"Destination B1.json#42","destination","cure","a medicine or treatment that makes someone who is ill become healthy","easy","Destination B1.json#42","destination"
"Destination B1.json#42","destination","exercise","physical activity that you do in order to stay healthy and make your body stronger","easy","Destination B1.json#42","destination"
"Destination B1.json#43","destination","limit","the greatest amount of something that is possible or allowed","easy","Destination B1.json#43","destination"
"Destination B1.json#43","destination","slice","a flat piece of food that has been cut from something larger","easy","Destination B1.json#43","destination"
"Destination B1.json#43","destination","taste","the flavour that something creates in your mouth when you eat or drink it","easy","Destination B1.json#43","destination"
"Destination B1.json#43","destination","design","the way that something is made so that it works and looks a certain way, or a drawing that shows what it will look like","easy","Destination B1.json#43","destination"
"Destination B1.json#44","destination","notice","a written sign or announcement that gives information or that warns people about something","easy","Destination B1.json#44","destination"
"Destination B1.json#44","destination","suit","a set of clothes made from the same cloth","easy","Destination B1.json#44","destination"
"Destination B1.json#44","destination","forecast","a statement about what is likely to happen, often relating to the weather","easy","Destination B1.json#44","destination"
"Destination B1.json#45","destination","litter","things that people have dropped on the ground in a public place, making it untidy","easy","Destination B1.json#45","destination"
"Destination B1.json#45","destination","name","a word or set of words used for referring to a person or thing","easy","Destination B1.json#45","destination"
"Destination B1.json#45","destination","rescue","an act of saving someone or something from danger or from an unpleasant situation","easy","Destination B1.json#45","destination"
"Destination B1.json#46","destination","bully","someone who uses their strength or status to threaten or frighten people","easy","Destination B1.json#46","destination"
"Destination B1.json#46","destination","hurt","injured, or feeling physical pain","easy","Destination B1.json#46","destination"
"Destination B1.json#46","destination","regret","a feeling of sadness about something that has happened or something that you have done","easy","Destination B1.json#46","destination"
"Destination B1.json#47","destination","upset","sad, worried, or angry about something","easy","Destination B1.json#47","destination"
