word,definition,distractors,difficulty
"a, an","một, một",later|black|orange,easy
about,Về,interest|culture|dinner,easy
above,bên trên,bank|friend|hot,easy
across,sang,car|company|expensive,easy
action,hoạt động,car|break|jacket,easy
activity,hoạt động,fourth|adult|anyone,easy
actor,diễn viên,college|February|everyone,easy
actress,nữ diễn viên,decide|airport|leg,easy
add,thêm vào,million|foot|name,easy
address,Địa chỉ,love|hat|century,easy
adult,người lớn,boat|play|cake,easy
advice,khuyên bảo,compare|perfect|eighteen,easy
afraid,sợ,outside|part|feeling,easy
after,sau đó,list|lunch|high,easy
afternoon,buổi chiều,cost|could|month,easy
again,lại,colour|period|better,easy
age,tuổi,away|cool|event,easy
ago,trước kia,holiday|food|piece,easy
agree,đồng ý,choose|bad|for,easy
air,không khí,age|need|excited,easy
airport,sân bay,box|boring|exciting,easy
all,tất cả,down|food|fifth,easy
also,Mà còn,around|apartment|meet,easy
always,luôn luôn,own|good|fact,easy
amazing,tuyệt vời,model|have to|event,easy
and,Và,bath|age|feel,easy
angry,tức giận,adult|chart|address,easy
animal,động vật,parent|ever|October,easy
another,khác,meaning|both|buy,easy
answer,trả lời,metre|little|healthy,easy
any,bất kì,add|fantastic|farm,easy
anyone,bất cứ ai,full|grow|chart,easy
anything,bất cứ điều gì,picture|cost|August,easy
apartment,căn hộ,listen|history|need,easy
apple,quả táo,man|diet|detail,easy
April,Tháng tư,could|egg|him,easy
area,khu vực,behind|ice|neighbour,easy
arm,cánh tay,map|cake|high,easy
around,xung quanh,mum|car|between,easy
arrive,đến,"chicken|a, an|opinion",easy
art,nghệ thuật,orange|grey|dinner,easy
article,bài báo,most det|area|at,easy
artist,nghệ sĩ,November|minute|July,easy
as,BẰNG,pig|mother|front,easy
ask,hỏi,afternoon|free|describe,easy
at,Tại,bike|not|husband,easy
August,Tháng tám,mum|classroom|one number,easy
aunt,dì,here|change|interest,easy
autumn,mùa thu,cannot|opposite|meal,easy
away,xa,bedroom|change|opinion,easy
baby,Đứa bé,face|fire|cook,easy
back,mặt sau,paragraph|everybody|football,easy
bad,xấu,ice|butter|minute,easy
bag,cái túi,euro|cousin|actress,easy
ball,quả bóng,blonde|jeans|partner,easy
banana,chuối,birthday|over|century,easy
band,ban nhạc,chart|midnight|museum,easy
bank,ngân hàng,born|child|classroom,easy
bath,bồn tắm,hundred|cold|beautiful,easy
bathroom,phòng tắm,happen|buy|player,easy
be v,là v,fifth|cheese|introduce,easy
beach,bãi biển,friend|customer|jacket,easy
beautiful,xinh đẹp,eight|nine|natural,easy
because,bởi vì,internet|grow|favourite,easy
become,trở nên,between|apartment|baby,easy
bed,giường,pay|OK exclam|day,easy
bedroom,phòng ngủ,coffee|never|across,easy
beer,bia,hear|near prep|everyone,easy
before,trước,come|air|place,easy
begin,bắt đầu,go|century|during,easy
beginning,bắt đầu,money|better|ice,easy
behind,phía sau,fifty|pair|blue,easy
believe,tin tưởng,bottle|between|hello,easy
below,dưới,few det|arrive|be v,easy
best,tốt nhất,point|dangerous|everybody,easy
better,tốt hơn,born|have|common,easy
between,giữa,first det|however|opinion,easy
bicycle,xe đạp,internet|painting|chart,easy
big,to lớn,art|ever|homework,easy
bike,xe đạp,never|boyfriend|high,easy
bill,hóa đơn,body|fish|lunch,easy
bird,chim,computer|order|beer,easy
birthday,sinh nhật,machine|play|cheap,easy
black,đen,fly|need|cannot,easy
blog,blog,piano|own|computer,easy
blonde,tóc vàng,learn|fourteen|culture,easy
blue,màu xanh da trời,every|much det|farmer,easy
boat,thuyền,local|camera|child,easy
body,thân hình,now|fact|bicycle,easy
book,sách,information|adult|hope,easy
boot,khởi động,drive|dress|office,easy
bored,chán,much det|beginning|object,easy
boring,nhạt nhẽo,eighteen|hobby|everything,easy
born,sinh,all|dear|butter,easy
both,cả hai,pink|dish|other,easy
bottle,cái chai,fast|phrase|cream,easy
box,hộp,many|actress|building,easy
boy,con trai,car|blog|baby,easy
boyfriend,bạn trai,gym|player|air,easy
bread,bánh mỳ,capital|farm|out,easy
break,phá vỡ,anything|ask|pepper,easy
breakfast,bữa sáng,company|paragraph|ask,easy
bring,mang đến,fifth|colour|bathroom,easy
brother,anh trai,decide|important|cut,easy
brown,màu nâu,dancer|day|born,easy
build,xây dựng,hope|college|cent,easy
building,xây dựng,autumn|interview|family,easy
bus,xe buýt,ask|form|light,easy
business,việc kinh doanh,grandfather|mountain|have to,easy
busy,bận,discuss|large|grandfather,easy
but,Nhưng,dirty|April|age,easy
butter,bơ,light|plan|concert,easy
buy,mua,fifth|angry|advice,easy
by,qua,lose|me|bag,easy
bye,tạm biệt,afraid|period|magazine,easy
cafe,quán cà phê,for|movie|note,easy
