sentence;predicted_topic_id;predicted_topic;actual_topic;correct
lovely;1;Greetings;Greetings;1
drift;24;Innovation;Innovation;1
gang;19;Politics;Politics;1
worse;13;Transportation;Transportation;1
launch;16;Business;Business;1
identity;2;Family;Family;1
warning;1;Greetings;Communication;0
blood;2;Family;Family;1
term;16;Business;Business;1
bell;13;Transportation;Transportation;1
old;13;Transportation;Transportation;1
approximately;3;Numbers;Numbers;1
division;16;Business;Business;1
investigate;17;Science;Science;1
wind;18;Psychology;Environment;0
favour;12;Environment;Environment;1
nowhere;6;Travel;Travel;1
honour;15;Culture;Culture;1
proud;1;Greetings;Psychology;0
warn;14;Communication;Communication;1
fee;3;Numbers;Numbers;1
extra;16;Business;Business;1
credit;7;Shopping;Shopping;1
involved;16;Business;Business;1
house;2;Family;Family;1
included;3;Numbers;Numbers;1
interest;20;Economy;Economy;1
become;9;Education;Education;1
executive;8;Work;Work;1
young;13;Transportation;Numbers;0
run;2;Family;Daily Activities;1
like;16;Business;Business;1
mountain;16;Business;Environment;0
power;12;Environment;Environment;1
conventional;1;Greetings;Innovation;0
harm;12;Environment;Environment;1
avoid;12;Environment;Environment;1
label;3;Numbers;Numbers;1
illustrate;20;Economy;Economy;1
normally;7;Shopping;Shopping;1
us;1;Greetings;Greetings;1
fridge;2;Family;Daily Activities;1
architect;8;Work;Work;1
affordable;7;Shopping;Shopping;1
try;16;Business;Business;1
loose;22;Media;Media;1
influence;22;Media;Media;1
salary;8;Work;Work;1
exist;23;Philosophy;Philosophy;1
document;21;Law;Law;1
till;13;Transportation;Numbers;0
wing;19;Politics;Politics;1
disdain;1;Greetings;Psychology;0
biological;17;Science;Science;1
temporarily;11;Technology;Technology;1
cake;2;Family;Food;1
cater;2;Family;Food;1
defy;7;Shopping;Shopping;1
evaluate;3;Numbers;Numbers;1
confine;1;Greetings;Law;0
contention;22;Media;Media;1
permanence;3;Numbers;Philosophy;0
hand;2;Family;Family;1
event;15;Culture;Culture;1
indoors;2;Family;Daily Activities;1
carriage;13;Transportation;Transportation;1
notoriety;22;Media;Media;1
pallor;12;Environment;Health;0
await;14;Communication;Communication;1
anonymous;1;Greetings;Media;0
nasty;2;Family;Psychology;0
loan;2;Family;Economy;1
judge;21;Law;Law;1
perception;18;Psychology;Psychology;1
cooperate;8;Work;Work;1
labyrinth;13;Transportation;Travel;1
ride;13;Transportation;Transportation;1
latest;16;Business;Business;1
obstreperous;1;Greetings;Psychology;0
assist;13;Transportation;Work;1
skilled;9;Education;Education;1
mannerism;23;Philosophy;Philosophy;1
subversion;22;Media;Media;1
composition;1;Greetings;Education;0
clarity;21;Law;Law;1
to permeate;12;Environment;Environment;1
mural;2;Family;Culture;1
to curtail;12;Environment;Economy;1
actual;16;Business;Business;1
disingenous;6;Travel;Psychology;0
cargo;13;Transportation;Transportation;1
note;22;Media;Media;1
whether;23;Philosophy;Philosophy;1
culprit;7;Shopping;Law;1
incongruity;6;Travel;Philosophy;0
remember;12;Environment;Environment;1
phone;11;Technology;Technology;1
age;11;Technology;Numbers;1
badly;6;Travel;Travel;1
incarnation;1;Greetings;Philosophy;0
impropriety;21;Law;Law;1
pretty;1;Greetings;Culture;1
to preempt;12;Environment;Business;1
plant;17;Science;Science;1
to precipitate;12;Environment;Environment;1
former;9;Education;Education;1
contempt;23;Philosophy;Philosophy;1
maverick;2;Family;Politics;1
consciousness;23;Philosophy;Philosophy;1
cautious;12;Environment;Environment;1
domain;6;Travel;Technology;1
strictly;21;Law;Law;1
cordial;16;Business;Communication;1
strike;8;Work;Work;1
admit;2;Family;Law;1
relevant;11;Technology;Education;1
lie;2;Family;Psychology;0
measure;17;Science;Science;1
proliferation;20;Economy;Science;1
high;1;Greetings;Numbers;0
methodology;24;Innovation;Science;1
wave;1;Greetings;Greetings;1
play;16;Business;Daily Activities;1
encouraging;20;Economy;Psychology;1
domicile;21;Law;Law;1
allege;9;Education;Law;1
rest;1;Greetings;Daily Activities;1
exile;6;Travel;Politics;1
convict;1;Greetings;Law;0
quarter;3;Numbers;Numbers;1
permission;21;Law;Law;1
arrange;3;Numbers;Numbers;1
obesity;10;Health;Health;1
explicit;1;Greetings;Communication;0
inclusive;2;Family;Family;1
assembly;1;Greetings;Politics;0
often;5;Daily Activities;Numbers;1
innumerable;3;Numbers;Numbers;1
spectacular;1;Greetings;Culture;1
solid;1;Greetings;Science;1
innovation;24;Innovation;Innovation;1
commence;1;Greetings;Business;1
minutiae;1;Greetings;Science;0
portent;20;Economy;Economy;1
impunity;21;Law;Law;1
award;9;Education;Education;1
nemesis;11;Technology;Psychology;1
embody;1;Greetings;Philosophy;0
enrich;12;Environment;Economy;1
festival;15;Culture;Culture;1
donate;12;Environment;Economy;1
possible;3;Numbers;Numbers;1
aspiration;23;Philosophy;Philosophy;1
interesting;6;Travel;Travel;1
January;16;Business;Numbers;1
official;16;Business;Business;1
compelling;21;Law;Law;1
progeny;2;Family;Family;1
crucible;21;Law;Law;1
