sentence_left,sentence_right,difficulty
"carry on","continue",easy
"eat out","eat at a restaurant",easy
"give up","stop doing sth you do regularly",easy
"join in","participate, take part",easy
"send off","make a player leave a game (eg, football)",easy
"take up","start (a hobby, sport, etc)",easy
"turn down","lower the volume of",easy
"turn up","increase the volume of",easy
"I waited outside the tennis club for","a long time, but George didn't appear.",easy
"When you rang, I was in","the middle of cleaning my football boots.",easy
"We finally got to the stadium just in","time to see the match start.",easy
"I just play football for","fun, and I don't want to do it as a job.",easy
"I loved that film and when it comes out","on DVD, I'll definitely get it.",easy
"It's great to appear on","stage, with all the audience clapping.",easy
"cross out","draw a line through sth written",easy
"look up","try to find information in a book, etc",easy
"point out","tell sb important information",easy
"read out","say sth out loud which you are reading",easy
"rip up","tear into pieces",easy
"rub out","remove with a rubber",easy
"turn over","turn sth so the other side is towards you",easy
"write down","write information on a piece of paper",easy
"get in(to)","enter a car",easy
"get off","leave a bus/train/etc",easy
"get on(to)","enter a bus/train/etc",easy
"get out (of)","leave a car/building/room/etc",easy
"go away","leave a place/sb",easy
"go back (to)","return (to)",easy
"set off","start a journey",easy
"take off","leave the ground",easy
"As the plane took","off, I held my mum's hand tightly.",easy
"The door is open, so you can get","in the car, if you like.",easy
"We were in a hurry and when we got","on the bus, I realised I didn't have a ticket.",easy
"The man selling the tickets told us to go","away and come back again later.",easy
"It was raining when we set","off on our walk, but it soon stopped.",easy
"We loved the hotel so we went","back there the following year.",easy
"Ray fell as he was getting","off the bus and couldn't walk properly.",easy
"The taxi driver asked us to get","out on the right because it was safer.",easy
"bring up","take care of a child until he or she becomes an adult",easy
"fall out (with)","have an argument with sb and stop being friends",easy
"get on (with)","have a good relationship (with)",easy
"go out with","be the boyfriend/girlfriend of",easy
"grow up","become older (for children)",easy
"let down","disappoint",easy
"look after","take care of",easy
"split up","end a relationship",easy
"add up","find the total of",easy
"come back (from)","return (from)",easy
"give away","give sth free of charge",easy
"hurry up","do sth more quickly",easy
"pay back","return money (to sb)",easy
"save up (for)","save money (for a specific purpose)",easy
"take back","return sth to the place it came from",easy
"take down","remove (from a high place)",easy
"break down","stop working (for a machine, etc)",easy
"come across","find sth by chance",easy
"find out","discover information, etc",easy
"make up","invent an explanation, excuse, etc",easy
"pull off","break by pulling",easy
"throw away","put sth in a rubbish bin",easy
"turn off","stop a machine working",easy
"turn on","start a machine working",easy
"What's the difference","between H20 and H2S04?",easy
"This box is full","of old camping equipment.",easy
"This resulted","in us having to call the fire brigade.",easy
"Connect this cable","to that piece of equipment over there.",easy
"I've had an idea","about how to do this experiment.",easy
"Could you fill this bottle","with water?",easy
"There's a lot of washing-up; I think we should","offer to do it.",easy
"It's getting quite late and we ought","to think about getting a taxi.",easy
"I don't have much money, but you can","borrow some if you need it.",easy
"It's amazing that Andrew could","walk when he was just six months",easy
"Passengers travelling in first class may","wait for their flight in the VIP area.",easy
"'Someone is at the door. It must be Mrs Johnson from next door.'","I'm almost certain.",easy
"'Lena might not know where the cinema is.'","Maybe/ Perhaps.",easy
"'Dad should know what the capital of New Zealand is.'","It's probable.",easy
"'Greg can't be in the final! He's a terrible player!'","I'm almost certain.",easy
"'The dog is wet. It must be raining outside.'","I'm almost certain.",easy
"'We may go to the Canary Islands for Easter.'","Maybe/ Perhaps.",easy
"'Ken must like that film. He's seen it six times!'","I'm almost certain.",easy
"'Barry ought to be able to cook Chinese food. He lived there for two years.'","It's probable.",easy
"call back","ring again on the phone",easy
"come out","be published",easy
"cut off","disconnect (phone, electricity, etc)",easy
"fill in","add information in the spaces on a form, etc",easy
"hang up","put the receiver down to end a phone call",easy
"log off","disconnect from the Internet/a website",easy
"log on(to)","connect to the Internet/a website",easy
"print out","make a paper copy of sth on a computer",easy
"I think I'm going to take","up a musical instrument, maybe the violin.",easy
"As our plane took","off, I held my dad's hand tightly.",easy
"Mr and Mrs Davies have split","up after more than twenty years together.",easy
"I hope we manage to find","out where the concert is going to happen.",easy
"I often had to look","after my younger sister when she was small.",easy
"You should turn","off the TV and find something else to do.",easy
"I've fallen","out with Kelly because she hurt my feelings.",easy
"My grandmother brought","up me and my brother because my parents worked.",easy
"You live in a village,","don't you?",easy
"You're not fifteen years old,","are you?",easy
"Carol has a maths test tomorrow,","doesn't she?",easy
"They were having lunch at the time,","weren't they?",easy
"You've been to France,","haven't you?",easy
"I'm not the only one,","am I?",easy
"They all passed the test,","didn't they?",easy
"You haven't seen Linda anywhere,","have you?",easy
"She won't tell anyone else,","will she?",easy
"This is the right DVD,","isn't it?",easy
"break in(to)","enter illegally",easy
"catch up (with)","reach the same point/level as",easy
"get away with","escape punishment for",easy
"get up","leave your bed",easy
"move in","start living in a new house, etc",easy
"put away","return sth to where it belongs",easy
"wake up","stop being asleep",easy
"wash up","wash plates, cups, cutlery, etc",easy
"beginning","in the beginning",easy
"Someone has broken","into my car and stolen the CD player.",easy
"I missed a few lessons but I'm catching","up with the rest of the class quite quickly.",easy
"You'll never get","away with this!",easy
"I didn't want to get","up when the alarm clock rang this morning.",easy
"Our new neighbours moved","in next door today.",easy
"Do you want me to help you put","all these clothes away?",easy
"When I woke","up, I realised I was late for school.",easy
"You're going to wash","those plates up, aren't you?",easy
"Someone broke","into our neighbour's house yesterday:",easy
"I'll just put","these things away and then I'll be ready.",easy
"Mum always wakes me","up at half past seven.",easy
"If you wash these plates","up, I'll start cooking dinner.",easy
"The flat is empty, so you can move","in whenever you like.",easy
"If you don't get","up soon, you'll be late for school.",easy
"call off","cancel",easy
"give back","return sth you have taken/borrowed",easy
"go on","happen",easy
"put off","delay to a later time",easy
"set up","start (a business, organisation, etc)",easy
"stay up","go to bed late",easy
"take away","remove",easy
"take over","take control of (a business, etc)",easy
"I'm afraid we're not looking for new workers at","the moment, but you could try again next month.",easy
"They said on the news that bus drivers are on","strike, so you might need to take a taxi to work.",easy
"In his new job, Paul is away travelling on","business a lot of the time so he's never at home for long.",easy
"I was quite nervous the first time I was in","charge of the whole department.",easy
"Anne works as a security guard and she's on","duty for about eight hours every night.",easy
"My boss said that if I wasn't on","time for work more often I would lose my job.",easy
"Mr Robinson is responsible","for interviewing people applying for jobs.",easy
"We need to inform everyone","about the new time of the meeting.",easy
"Trisha seems to be fed up","with her job and is thinking of finding a new one.",easy
"Your salary depends","on how long you've been working here.",easy
"I would love to work","as a racing driver, or maybe a car mechanic.",easy
"During the meeting, the manager referred","to last year as 'a disaster'.",easy
"I'm a swimming instructor, which is a kind","of teacher, I suppose.",easy
"It's important when you apply","for a job to make a good impression.",easy
"cut down (on)","do less of sth(smoking, etc)",easy
"fall down","trip and fall",easy
"get over","recover from(an illness, etc)",easy
"go off","no longer be fresh",easy
"lie down","start lying(on a bed, etc)",easy
"put on","gain(weight)",easy
"sit down","(start to) sit",easy
"stand up","(start to) stand",easy
"do up","button/zip up a piece of clothing",easy
"fill up","make sth completely full",easy
"have on","wear (a piece of clothing)",easy
"leave out","not include",easy
"try on","put on (a piece of clothing) to see how it looks and if it fits",easy
"She described the picture she was painting","as modern, but it looked quite old-fashioned to me.",easy
"My sister's an architect, so she's involved","in designing buildings.",easy
"I like Picasso's paintings, but I'm not familiar","with his sculptures.",easy
"I tried to explain how to use oil paints","to Martin, but he didn't understand.",easy
"They had to remove one of the paintings","from the exhibition because it was damaged.",easy
"Vincent Van Gogh has had an influence","on many other painters.",easy
"Darren drew a picture","of a horse and it was brilliant.",easy
"Adding flowers to my picture changed it","from a winter scene into a spring scene.",easy
"I've never driven","a tractor.",easy
"We're going to have","a party on Saturday",easy
"Don't close","the window!",easy
"Have you invited","lots of people?",easy
"Of course you can borrow","some money.",easy
"Clare has drawn","a lovely picture.",easy
"blow up","explode",easy
"build up","increase",easy
"clear up","tidy",easy
"go out","stop burning",easy
"keep out","prevent from entering",easy
"put down","stop holding",easy
"put out","make something stop burning",easy
"put up","put something on a wall (eg, a picture)",easy
"They're going to blow","up the old bridge with dynamite.",easy
"Let's clear","up this rubbish and put it in the bin.",easy
"I'm going to put","up a sign to tell people not to drop any litter.",easy
"There was a sign saying 'Keep","Out' on the gate.",easy
"How long did it take to put","out the forest fire?",easy
"I'll just put this box","down and then I'll help you with the tent.",easy
"The traffic has built","up a lot round here over recent years.",easy
"The fire will go","out unless we put some more wood on.",easy
"calm down","become/make calmer",easy
"cheer up","become/make happier",easy
"come on","be quicker",easy
"hang on","wait",easy
"run away (from)","escape by running",easy
"shut up","stop talking, stop making a noise",easy
"speak up","talk more loudly so sb can hear you",easy
"Alice seems a bit depressed.","Maybe she's had some bad news.",easy
"Mary is very polite.","Yes, she always says thank you.",easy
"Diane seems like a calm person.","Oh, yes. Nothing ever upsets her.",easy
"Gemma seems a bit bad-tempered today.","Yes. She's definitely angry about something.",easy
"Megan is amusing.","I know. She always makes me laugh.",easy
"Janice looks glad about something.","I think it's because she's won some money.",easy
"Nina was hurt by what you said.","Well, maybe I should apologise, then.",easy
"pick up","lift something from the floor, a table, etc",easy
"put back","return something to where it was",easy
"sort out","solve a problem",easy
"watch out","be careful",easy
"work out","find the solution to a problem, etc",easy
"Jim doesn't believe","in ghosts.",easy
"I completely agree","with you.",easy
"I've written","to Tara.",easy
"My dad doesn't approve","of people smoking.",easy
"I've got no idea what happened","about that at all.",easy
"You can always rely","on Craig.",easy
"beat","to defeat someone in a game, competition, election, or battle",easy
"board game","any game in which you move objects around on a special board",easy
"captain","the person who is in charge of a team or organisation",easy
"challenge","to invite someone to compete or fight",easy
"champion","someone who has won an important competition, especially in sport",easy
"cheat","to behave dishonestly, or to not obey rules",easy
"classical music","serious music that is played on instruments such as the piano and the violin",easy
"club","an organisation for people who take part in a particular activity, or the building that they use",easy
"coach","someone who trains a sports player or team",easy
"competition","an organised event in which people try to win prizes by being better than other people",easy
"concert","an event at which an orchestra, band, or musician plays or sings in front of an audience",easy
"defeat","to win against someone",easy
"entertaining","enjoyable or interesting",easy
"folk music","traditional music from a particular country or region, or music played in a traditional style",easy
"group","a small set of musicians who play pop music",easy
"gym","a room or club with equipment for doing physical exercises",easy
"have fun","get enjoyment from an activity that is not important or serious",easy
"interest","to make someone want to know about or take part in something",easy
"member","someone who belongs to a group or an organisation: a trade union member",easy
"opponent","someone who is competing against you",easy
"organise","to prepare or arrange an activity or event",easy
"pleasure","a feeling of happiness, enjoyment, or satisfaction",easy
"referee","someone whose job is to make sure that players in a game obey the rules",easy
"fail","to be unsuccessful in something",easy
