sentence,phonetic,audio_url,difficulty
There are more than a hundred different kinds of liver disease .,/ˈðɛr ˈɑr ˈmɔr ˈðæn ˈeɪ ˈhəndərd ˈdɪfərənt ˈkaɪndz ˈəv ˈlɪvər dɪˈziz/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805033/audio_file/level02/02_2af06d69-5.mp3,medium
Most oomycetes produce two types of spores .,/ˈmoʊs oomycetes ˈproʊdus ˈtu ˈtaɪps ˈəv ˈspɔrz/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805036/audio_file/level02/02_8d186863-9.mp3,medium
"Web browsers and web proxy servers employ web caches to store previous responses from web servers , such as web pages and images .",/ˈwɛb ˈbraʊzərz ˈænd ˈwɛb ˈprɑksi ˈsərvərz ɛmˈplɔɪ ˈwɛb ˈkæʃɪz ˈtu ˈstɔr ˈpriviəs riˈspɑnsəz ˈfrəm ˈwɛb ˈsərvərz ˈsətʃ ˈæz ˈwɛb ˈpeɪdʒəz ˈænd ˈɪmədʒəz/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805039/audio_file/level03/03_d8607c40-f.mp3,hard
"It is well - known spa town , specialising in mud treatment for rheumatism and similar medical problems .",/ˈɪt ˈɪz ˈwɛl - ˈnoʊn ˈspɑ ˈtaʊn specialising ˈɪn ˈməd ˈtritmənt ˈfɔr ˈruməˌtɪzəm ˈænd ˈsɪmələr ˈmɛdəkəl ˈprɑbləmz/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805042/audio_file/level03/03_5367a8ba-d.mp3,hard
The A $ 32 million first phase of a major upgrade began in 2010 and is expected to be completed during 2015 .,/ˈðə ˈeɪ $ 32 ˈmɪljən ˈfərst ˈfeɪz ˈəv ˈeɪ ˈmeɪdʒər ˈəpˈɡreɪd biˈɡæn ˈɪn 2010 ˈænd ˈɪz ɪkˈspɛktəd ˈtu ˈbi kəmˈplitəd ˈdərɪŋ 2015/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805044/audio_file/level02/02_bd750c33-6.mp3,medium
"After condensation and ignition of a star , it generates thermal energy in its dense core region through nuclear fusion of hydrogen into helium .",/ˈæftər ˌkɑndənˈseɪʃən ˈænd ˌɪɡˈnɪʃən ˈəv ˈeɪ ˈstɑr ˈɪt ˈdʒɛnərˌeɪts ˈθərməl ˈɛnərdʒi ˈɪn ˈɪts ˈdɛns ˈkɔr ˈridʒən ˈθru ˈnukliər ˈfjuʒən ˈəv ˈhaɪdrədʒən ˈɪntu ˈhiliəm/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805047/audio_file/level03/03_3c0651b8-e.mp3,hard
"Viral populations do not grow through cell division , because they do not have cells .",/ˈvaɪrəl ˌpɑpjəˈleɪʃənz ˈdu ˈnɑt ˈɡroʊ ˈθru ˈsɛl dɪˈvɪʒən bɪˈkɑz ˈðeɪ ˈdu ˈnɑt ˈhæv ˈsɛlz/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805049/audio_file/level02/02_55c2f61c-7.mp3,medium
Over 100 ships or shipwrecks have been designated as NHLs .,/ˈoʊvər 100 ˈʃɪps ˈɔr shipwrecks ˈhæv ˈbɪn ˈdɛzɪɡˌneɪtɪd ˈæz nhls/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805051/audio_file/level02/02_e8927921-d.mp3,medium
NGC 1569 is characterized by a large starburst .,/ngc 1569 ˈɪz ˈkɛrəktərˌaɪzd ˈbaɪ ˈeɪ ˈlɑrdʒ starburst/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805052/audio_file/level02/02_488894a0-0.mp3,medium
Students can also choose to attend a community college prior to further study at another college or university .,/ˈstudənts ˈkæn ˈɔlsoʊ ˈtʃuz ˈtu əˈtɛnd ˈeɪ kəmˈjunəti ˈkɑlɪdʒ ˈpraɪər ˈtu ˈfərðər ˈstədi ˈæt əˈnəðər ˈkɑlɪdʒ ˈɔr ˌjunəˈvərsəti/,https://res.cloudinary.com/dcz6avkds/video/upload/v1773805056/audio_file/level02/02_c5323718-f.mp3,medium
