sentence,options,answer,difficulty,question_type
You should take ............................ a sport and then you would get more exercise.,"off|up|down",up,easy,VOCAB
I'm trying to work! Could you please turn your music ............................?,"down|in|out",down,easy,VOCAB
Just ask and I'm sure the other children will let you join ............................ .,"out|up|in",in,easy,VOCAB
The referee sent David ............................ for arguing with him.,"off|down|up",off,easy,VOCAB
This is my favourite song! Turn it ............................!,"off|out|up",up,easy,VOCAB
"A mobile phone rang, but the musician just carried ............................ playing.","on|up|in",on,easy,VOCAB
We can't afford to eat ............................ very often.,"off|up|out",out,easy,VOCAB
I've decided to become a vegetarian and give ............................ meat.,"up|off|out",up,easy,VOCAB
"When you rang, I ............................ my bike.","cleaned|was cleaning|used to clean|clean",was cleaning,easy,VOCAB
"At my last basketball club, we ............................ every Saturday for three hours.","were training|training|train|used to train",used to train,easy,VOCAB
I really ............................ the meal we had at your house last Tuesday.,"was liking|liked|like|am liking",liked,easy,VOCAB
We ............................ to the beach every day when we were on holiday.,"went|were going|go|used to going",went,easy,VOCAB
I broke my leg when Tony and I ............................ for the school sports day.,"practised|used to practise|were practising|are practising",were practising,easy,VOCAB
"Leon never ............................ about it, but he was once a world champion skier.","talks|is talking|was talking|talk",talks,easy,VOCAB
"I ............................ like golf, but now I really like it.","don't use to|don't used to|didn't used to|didn't use to",didn't use to,easy,VOCAB
Denise ............................ at the stadium until she finds a better job.,"works|is working|used to work|was working",is working,easy,VOCAB
............................ never played this game before.,"I've|I",I've,easy,VOCAB
Adam ............................ his room last night.,"has tidied|tidied",tidied,easy,VOCAB
............................ here since 2005?,"Have you lived|Did you live",Have you lived,easy,VOCAB
Carol and I ............................ to the cinema three nights ago.,"have been|went",went,easy,VOCAB
"It's the first time ............................ our flat, isn't it?","you've visited|you visited",you've visited,easy,VOCAB
They ............................ the baby a name yet.,"haven't given|didn't give",haven't given,easy,VOCAB
............................ to New York when you went to the States last summer?,"Have you been|Did you go",Did you go,easy,VOCAB
............................ an e-mail before?,"Have you ever sent|Did you ever send",Have you ever sent,easy,VOCAB
We'd had dinner when Wendy arrived.,"Wendy arrived and then we had dinner.|We had dinner and then Wendy arrived.",We had dinner and then Wendy arrived.,easy,VOCAB
I read the book after I'd seen the film.,"I saw the film and then I read the book.|I read the book and then I saw the film.",I saw the film and then I read the book.,easy,VOCAB
"By the time Dad came home, I'd gone to bed.","I went to bed before Dad came home.|I went to bed after Dad came home.",I went to bed before Dad came home.,easy,VOCAB
She didn't go to bed until her mum had come home.,"She went to bed and then her mum came home.|Her mum came home and then she went to bed.",Her mum came home and then she went to bed.,easy,VOCAB
Mr Banks hadn't arrived at the office by the time I got there.,"I arrived before Mr Banks.|Mr Banks arrived before me.",I arrived before Mr Banks.,easy,VOCAB
They'd bought the plane tickets before they heard about the cheaper flight.,"They bought the plane tickets and later they heard about the cheaper flight.|They heard about the cheaper flight and then they bought the plane tickets.",They bought the plane tickets and later they heard about the cheaper flight.,easy,VOCAB
The girls had tidied the house when the visitors arrived.,"The visitors arrived and later the girls tidied the house.|The girls tidied the house and then the visitors arrived.",The girls tidied the house and then the visitors arrived.,easy,VOCAB
"I'd only ............................ the washing-up for a few minutes when Clare came home, so she offered to finish it.","done|been doing",been doing,easy,VOCAB
Had you already ............................ James his birthday present when we gave him ours?,"given|been giving",given,easy,VOCAB
"Gail hadn't ............................ me that she would help me, so I wasn't angry when she didn't.","told|been telling",told,easy,VOCAB
Mum had ............................ her cup of tea for several minutes before she realised it had salt in it!,"drunk|been drinking",been drinking,easy,VOCAB
We'd ............................ ready all day when they called to say the party had been cancelled.,"got|been getting",been getting,easy,VOCAB
It was a fantastic experience because I'd never ............................ in a plane before.,"flown|been flying",flown,easy,VOCAB
It's the first time ............................ all the answers right in a test!,"I've got|I'd got|I've been getting|I'd been getting",I've got,easy,VOCAB
The exam ............................ when Jimmy finally found the right room.,"has already started|already started|had already started|already starts",had already started,easy,VOCAB
............................ that crossword for over an hour and you still haven't finished it!,"You've done|You'd done|You've been doing|You'd been doing",You've been doing,easy,VOCAB
"When they let us go in, we ............................ outside the exam room for over half an hour.","have stood|had been standing|have been standing|are standing",had been standing,easy,VOCAB
Clare hasn't finished her homework ............................ .,"already|yet|just|ever",yet,easy,VOCAB
Have you ............................ been on a school trip?,"yet|for|before|ever",ever,easy,VOCAB
Lizzie has been having dance classes ............................ she was four years old.,"for|from|since|when",since,easy,VOCAB
Had you been learning French ............................ several years before you took your first exam?,"for|from|since|when",for,easy,VOCAB
‘Have you made plans for the summer?’ ‘Yes. ............................ to Spain.’,"We'll go|We're going|We go",We're going,easy,VOCAB
‘We're moving house tomorrow.’ ‘Really? ............................ you with the furniture.’,"I help|I'm helping|I'll help",I'll help,easy,VOCAB
"‘Do you need this paintbrush?’ ‘Ah, yes. ............................ it to me, please?’","Do you pass|Will you pass|Are you passing",Will you pass,easy,VOCAB
"‘What do you want to be when you grow up, Stevie?’ ‘............................ a scientist. That's what I want to do, anyway.’","I be|I'm going to be|I'm being",I'm going to be,easy,VOCAB
"‘John is a better player than Martin, isn't he?’ ‘Oh, yes. ............................ the match tomorrow, I expect.’","He'll win|He wins|He's winning",He'll win,easy,VOCAB
"‘The weather has been terrible, hasn't it?’ ‘Yes, I think ............................ again later.’","it's going to rain|it's raining|it rains",it's going to rain,easy,VOCAB
I ............................ around the world one day.,"travel|am going to travel|am travelling|travelled",am going to travel,easy,VOCAB
Do you think Curtis ............................ the car race tomorrow?,"will win|wins|is winning|won",will win,easy,VOCAB
What's the weather like ............................ Russia at the moment?,"on|at|in|to",in,easy,VOCAB
I can't come to your party because I ............................ my cousin that week.,"visit|will visit|visited|am visiting",am visiting,easy,VOCAB
I think there's a picture of the hotel ............................ the first page.,"on|at|in|to",on,easy,VOCAB
We usually go away somewhere on holiday ............................ New Year.,"on|at|in|to",at,easy,VOCAB
"Watch out, or you ............................ off the boat!","fall|are going to fall|are falling|fell",are going to fall,easy,VOCAB
"It's my birthday ............................ Friday, so we're spending the weekend in London.","on|at|in|to",on,easy,VOCAB
"I got ............................ the car, turned the key and realised I didn't have any petrol!","into|off|onto|on",into,easy,VOCAB
I hope our plane leaves on ............................ .,"timetable|plan|schedule|hour",schedule,easy,VOCAB
"My mum ............................ the bus to work every morning, but Dad drives.","catches|does|runs|goes",catches,easy,VOCAB
We had a long way to go so we ............................ off very early.,"made|set|put|had",set,easy,VOCAB
