sentence,answer,distractors,difficulty
You should take ............................ a sport and then you would get more exercise.,up,off|up|down,easy
I'm trying to work! Could you please turn your music ............................?,down,down|in|out,easy
Just ask and I'm sure the other children will let you join ............................ .,in,out|up|in,easy
The referee sent David ............................ for arguing with him.,off,off|down|up,easy
This is my favourite song! Turn it ............................!,up,off|out|up,easy
"A mobile phone rang, but the musician just carried ............................ playing.",on,on|up|in,easy
We can't afford to eat ............................ very often.,out,off|up|out,easy
I've decided to become a vegetarian and give ............................ meat.,up,up|off|out,easy
"When you rang, I ............................ my bike.",was cleaning,cleaned|was cleaning|used to clean|clean,easy
"At my last basketball club, we ............................ every Saturday for three hours.",used to train,were training|training|train|used to train,easy
I really ............................ the meal we had at your house last Tuesday.,liked,was liking|liked|like|am liking,easy
We ............................ to the beach every day when we were on holiday.,went,went|were going|go|used to going,easy
I broke my leg when Tony and I ............................ for the school sports day.,were practising,practised|used to practise|were practising|are practising,easy
"Leon never ............................ about it, but he was once a world champion skier.",talks,talks|is talking|was talking|talk,easy
"I ............................ like golf, but now I really like it.",didn't use to,don't use to|don't used to|didn't used to|didn't use to,easy
Denise ............................ at the stadium until she finds a better job.,is working,works|is working|used to work|was working,easy
............................ never played this game before.,I've,I've|I,easy
Adam ............................ his room last night.,tidied,has tidied|tidied,easy
............................ here since 2005?,Have you lived,Have you lived|Did you live,easy
Carol and I ............................ to the cinema three nights ago.,went,have been|went,easy
"It's the first time ............................ our flat, isn't it?",you've visited,you've visited|you visited,easy
They ............................ the baby a name yet.,haven't given,haven't given|didn't give,easy
............................ to New York when you went to the States last summer?,Did you go,Have you been|Did you go,easy
............................ an e-mail before?,Have you ever sent,Have you ever sent|Did you ever send,easy
We'd had dinner when Wendy arrived.,We had dinner and then Wendy arrived.,Wendy arrived and then we had dinner.|We had dinner and then Wendy arrived.,easy
I read the book after I'd seen the film.,I saw the film and then I read the book.,I saw the film and then I read the book.|I read the book and then I saw the film.,easy
"By the time Dad came home, I'd gone to bed.",I went to bed before Dad came home.,I went to bed before Dad came home.|I went to bed after Dad came home.,easy
She didn't go to bed until her mum had come home.,Her mum came home and then she went to bed.,She went to bed and then her mum came home.|Her mum came home and then she went to bed.,easy
Mr Banks hadn't arrived at the office by the time I got there.,I arrived before Mr Banks.,I arrived before Mr Banks.|Mr Banks arrived before me.,easy
They'd bought the plane tickets before they heard about the cheaper flight.,They bought the plane tickets and later they heard about the cheaper flight.,They bought the plane tickets and later they heard about the cheaper flight.|They heard about the cheaper flight and then they bought the plane tickets.,easy
The girls had tidied the house when the visitors arrived.,The girls tidied the house and then the visitors arrived.,The visitors arrived and later the girls tidied the house.|The girls tidied the house and then the visitors arrived.,easy
"I'd only ............................ the washing-up for a few minutes when Clare came home, so she offered to finish it.",been doing,done|been doing,easy
Had you already ............................ James his birthday present when we gave him ours?,given,given|been giving,easy
"Gail hadn't ............................ me that she would help me, so I wasn't angry when she didn't.",told,told|been telling,easy
Mum had ............................ her cup of tea for several minutes before she realised it had salt in it!,been drinking,drunk|been drinking,easy
We'd ............................ ready all day when they called to say the party had been cancelled.,been getting,got|been getting,easy
It was a fantastic experience because I'd never ............................ in a plane before.,flown,flown|been flying,easy
It's the first time ............................ all the answers right in a test!,I've got,I've got|I'd got|I've been getting|I'd been getting,easy
