transcript,audio_url,difficulty
"Tom advised me to go there.","https://audio.tatoeba.org/sentences/eng/2955496.mp3","pending"
"Tom and Mary are listening.","https://audio.tatoeba.org/sentences/eng/2644043.mp3","pending"
"Tom appreciates modern art.","https://audio.tatoeba.org/sentences/eng/643677.mp3","pending"
"Tom asked where Mary lived.","https://audio.tatoeba.org/sentences/eng/3732518.mp3","pending"
"Tom can't get Mary to stop.","https://audio.tatoeba.org/sentences/eng/1951656.mp3","pending"
"Tom cares about his health.","https://audio.tatoeba.org/sentences/eng/2059852.mp3","pending"
"Tom cut down a cherry tree.","https://audio.tatoeba.org/sentences/eng/2719670.mp3","pending"
"Tom deserves to be captain.","https://audio.tatoeba.org/sentences/eng/4850158.mp3","pending"
"Tom didn't think I noticed.","https://audio.tatoeba.org/sentences/eng/2279386.mp3","pending"
"Tom didn't want to help me.","https://audio.tatoeba.org/sentences/eng/3822637.mp3","pending"
"Tom doesn't drink red wine.","https://audio.tatoeba.org/sentences/eng/3733200.mp3","pending"
"Tom doesn't know I'm alive.","https://audio.tatoeba.org/sentences/eng/2279408.mp3","pending"
"Tom fastened his seat belt.","https://audio.tatoeba.org/sentences/eng/1868333.mp3","pending"
"Tom fell in love with Mary.","https://audio.tatoeba.org/sentences/eng/1028951.mp3","pending"
"Tom gave Mary his notebook.","https://audio.tatoeba.org/sentences/eng/2544002.mp3","pending"
"Tom got out of the bathtub.","https://audio.tatoeba.org/sentences/eng/1093940.mp3","pending"
"Tom has a beautiful garden.","https://audio.tatoeba.org/sentences/eng/2045811.mp3","pending"
"Tom has a good imagination.","https://audio.tatoeba.org/sentences/eng/4665933.mp3","pending"
"Tom has never been in love.","https://audio.tatoeba.org/sentences/eng/3442386.mp3","pending"
"Tom has nothing else to do.","https://audio.tatoeba.org/sentences/eng/2713283.mp3","pending"
"Tom hasn't called back yet.","https://audio.tatoeba.org/sentences/eng/4665918.mp3","pending"
"Tom invited Mary to dinner.","https://audio.tatoeba.org/sentences/eng/1028612.mp3","pending"
"Tom is a retired detective.","https://audio.tatoeba.org/sentences/eng/2957021.mp3","pending"
"Tom is an environmentalist.","https://audio.tatoeba.org/sentences/eng/2272949.mp3","pending"
"Tom is extremely forgetful.","https://audio.tatoeba.org/sentences/eng/3428437.mp3","pending"
"Tom is in a very good mood.","https://audio.tatoeba.org/sentences/eng/3444653.mp3","pending"
"Tom is in incredible shape.","https://audio.tatoeba.org/sentences/eng/3023641.mp3","pending"
"Tom is obviously concerned.","https://audio.tatoeba.org/sentences/eng/2643966.mp3","pending"
"Tom is secretive, isn't he?","https://audio.tatoeba.org/sentences/eng/3164438.mp3","pending"
"Tom is spraying his garden.","https://audio.tatoeba.org/sentences/eng/1024869.mp3","pending"
"Tom is very angry with you.","https://audio.tatoeba.org/sentences/eng/3449394.mp3","pending"
"Tom jumped out of the tree.","https://audio.tatoeba.org/sentences/eng/1024655.mp3","pending"
"Tom just bought a car, too.","https://audio.tatoeba.org/sentences/eng/3150577.mp3","pending"
"Tom knows where Mary lives.","https://audio.tatoeba.org/sentences/eng/1028396.mp3","pending"
"Tom likes to play football.","https://audio.tatoeba.org/sentences/eng/3428413.mp3","pending"
"Tom looked into the fridge.","https://audio.tatoeba.org/sentences/eng/3122258.mp3","pending"
"Tom made Mary wash his car.","https://audio.tatoeba.org/sentences/eng/2271264.mp3","pending"
"Tom must be getting sleepy.","https://audio.tatoeba.org/sentences/eng/3409233.mp3","pending"
"Tom never told me anything.","https://audio.tatoeba.org/sentences/eng/3200420.mp3","pending"
"Tom passed away last night.","https://audio.tatoeba.org/sentences/eng/1093151.mp3","pending"
"Tom put on some warm socks.","https://audio.tatoeba.org/sentences/eng/2543974.mp3","pending"
"Tom ran into the classroom.","https://audio.tatoeba.org/sentences/eng/3480061.mp3","pending"
"Tom said he found his keys.","https://audio.tatoeba.org/sentences/eng/3472876.mp3","pending"
"Tom said I should tell you.","https://audio.tatoeba.org/sentences/eng/3200419.mp3","pending"
"Tom seems totally confused.","https://audio.tatoeba.org/sentences/eng/3164827.mp3","pending"
"Tom should've married Mary.","https://audio.tatoeba.org/sentences/eng/1164180.mp3","pending"
"Tom speaks a little French.","https://audio.tatoeba.org/sentences/eng/2451568.mp3","pending"
"Tom still doesn't eat meat.","https://audio.tatoeba.org/sentences/eng/3736201.mp3","pending"
"Tom takes after his mother.","https://audio.tatoeba.org/sentences/eng/3377450.mp3","pending"
"Tom told me about the fire.","https://audio.tatoeba.org/sentences/eng/3200416.mp3","pending"
"Tom tore the paper in half.","https://audio.tatoeba.org/sentences/eng/682140.mp3","pending"
"Tom turned out to be right.","https://audio.tatoeba.org/sentences/eng/1479134.mp3","pending"
"Tom used to live in Boston.","https://audio.tatoeba.org/sentences/eng/1024055.mp3","pending"
"Tom wanted to come with us.","https://audio.tatoeba.org/sentences/eng/3403434.mp3","pending"
"Tom wants to join our club.","https://audio.tatoeba.org/sentences/eng/4016661.mp3","pending"
"Tom was condemned to death.","https://audio.tatoeba.org/sentences/eng/2492900.mp3","pending"
"Tom was eager to help Mary.","https://audio.tatoeba.org/sentences/eng/3161770.mp3","pending"
"Tom was too angry to speak.","https://audio.tatoeba.org/sentences/eng/3183368.mp3","pending"
"Tom was trying to help you.","https://audio.tatoeba.org/sentences/eng/3161758.mp3","pending"
"Tom will explain it to you.","https://audio.tatoeba.org/sentences/eng/4132543.mp3","pending"
"Tom will never forgive you.","https://audio.tatoeba.org/sentences/eng/1867710.mp3","pending"
"Tom, I want to talk to you.","https://audio.tatoeba.org/sentences/eng/2033295.mp3","pending"
"Tom's answers were correct.","https://audio.tatoeba.org/sentences/eng/4665870.mp3","pending"
"Tom's speech was excellent.","https://audio.tatoeba.org/sentences/eng/37358.mp3","pending"
"We all laughed at his joke.","https://audio.tatoeba.org/sentences/eng/262867.mp3","pending"
"We are about to leave here.","https://audio.tatoeba.org/sentences/eng/247957.mp3","pending"
"We can't just give it away.","https://audio.tatoeba.org/sentences/eng/3151218.mp3","pending"
"We don't even talk anymore.","https://audio.tatoeba.org/sentences/eng/2281772.mp3","pending"
"We don't understand French.","https://audio.tatoeba.org/sentences/eng/2273776.mp3","pending"
"We have a traitor among us.","https://audio.tatoeba.org/sentences/eng/23357.mp3","pending"
"We have to call the police.","https://audio.tatoeba.org/sentences/eng/2698913.mp3","pending"
"We live near a big library.","https://audio.tatoeba.org/sentences/eng/249044.mp3","pending"
"We painted the walls white.","https://audio.tatoeba.org/sentences/eng/2713266.mp3","pending"
"We should lower our voices.","https://audio.tatoeba.org/sentences/eng/2643855.mp3","pending"
"We took the quickest route.","https://audio.tatoeba.org/sentences/eng/3312831.mp3","pending"
"We want to run a few tests.","https://audio.tatoeba.org/sentences/eng/2012746.mp3","pending"
"We'll gladly take you home.","https://audio.tatoeba.org/sentences/eng/3312196.mp3","pending"
"We're almost finished here.","https://audio.tatoeba.org/sentences/eng/3824012.mp3","pending"
"We're going to do our best.","https://audio.tatoeba.org/sentences/eng/3310844.mp3","pending"
"We're trying to rescue you.","https://audio.tatoeba.org/sentences/eng/3310936.mp3","pending"
"We've got our own problems.","https://audio.tatoeba.org/sentences/eng/2663446.mp3","pending"
"Well, that's what Tom said.","https://audio.tatoeba.org/sentences/eng/3168352.mp3","pending"
"What about a glass of beer?","https://audio.tatoeba.org/sentences/eng/34838.mp3","pending"
"What are you lining up for?","https://audio.tatoeba.org/sentences/eng/66970.mp3","pending"
"What are you yelling about?","https://audio.tatoeba.org/sentences/eng/3395876.mp3","pending"
"What did they do yesterday?","https://audio.tatoeba.org/sentences/eng/2643835.mp3","pending"
"What do you think about it?","https://audio.tatoeba.org/sentences/eng/42939.mp3","pending"
"What do you think it's for?","https://audio.tatoeba.org/sentences/eng/4015874.mp3","pending"
"What does it actually mean?","https://audio.tatoeba.org/sentences/eng/662937.mp3","pending"
"What happened to your cane?","https://audio.tatoeba.org/sentences/eng/3129939.mp3","pending"
"What he said made us angry.","https://audio.tatoeba.org/sentences/eng/1288431.mp3","pending"
"What languages do you know?","https://audio.tatoeba.org/sentences/eng/1550947.mp3","pending"
"What time do you eat lunch?","https://audio.tatoeba.org/sentences/eng/3154666.mp3","pending"
"What was your other choice?","https://audio.tatoeba.org/sentences/eng/3197237.mp3","pending"
"What would you have Tom do?","https://audio.tatoeba.org/sentences/eng/2892654.mp3","pending"
"What's the matter with Tom?","https://audio.tatoeba.org/sentences/eng/1040482.mp3","pending"
"What's the meaning of this?","https://audio.tatoeba.org/sentences/eng/2713263.mp3","pending"
"What's your favorite fruit?","https://audio.tatoeba.org/sentences/eng/906765.mp3","pending"
"When did you come to Japan?","https://audio.tatoeba.org/sentences/eng/16755.mp3","pending"
"When did you get to London?","https://audio.tatoeba.org/sentences/eng/29301.mp3","pending"
"When'll we know how Tom is?","https://audio.tatoeba.org/sentences/eng/3130251.mp3","pending"
"Where did you go to school?","https://audio.tatoeba.org/sentences/eng/1841528.mp3","pending"
"Where do I pay for the gas?","https://audio.tatoeba.org/sentences/eng/38169.mp3","pending"
"Where is the ticket office?","https://audio.tatoeba.org/sentences/eng/272494.mp3","pending"
