transcript,audio_url,difficulty
I do n't often wear ball gowns .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843851/audio_file/level01/01_957e46e4-a.mp3,easy
He is the man whose daughter is missing .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843852/audio_file/level01/01_4792c73d-9.mp3,easy
I wish I could have finished it .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843853/audio_file/level01/01_5034b5b7-5.mp3,easy
Do n't wear khakis to the business meeting .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843854/audio_file/level01/01_3b9e4cbd-8.mp3,easy
This huge store only has three cashiers !,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843855/audio_file/level01/01_72edd91a-1.mp3,easy
Sugar was bad for Henry .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843856/audio_file/level01/01_2e55c465-a.mp3,easy
There is no more water .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843857/audio_file/level01/01_94c108dd-9.mp3,easy
He 's got a girlfriend .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843859/audio_file/level01/01_26904117-3.mp3,easy
The driver did n't know where to turn .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843860/audio_file/level01/01_c01d8d8b-1.mp3,easy
Shall I teach you to dance ?,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843861/audio_file/level01/01_6051fcef-e.mp3,easy
He asked the teacher what to do .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843862/audio_file/level01/01_0e48d1ab-e.mp3,easy
I forgot to bring my umbrella .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843863/audio_file/level01/01_487645e8-c.mp3,easy
We watch the Olympics on TV .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843864/audio_file/level01/01_a9298672-c.mp3,easy
I wish I could be a scientist .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843865/audio_file/level01/01_e477260f-3.mp3,easy
There is a photographer 's studio over there .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843866/audio_file/level01/01_1346649d-e.mp3,easy
I wish it could be different .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843867/audio_file/level01/01_d559b0f9-b.mp3,easy
Have you met our brother ?,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843868/audio_file/level01/01_3d94ad63-a.mp3,easy
I was called twice about it .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843869/audio_file/level01/01_c648865f-f.mp3,easy
She cooks for her little brother .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843870/audio_file/level01/01_66d9d507-a.mp3,easy
We have n't met yet .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843872/audio_file/level01/01_42eee6b7-4.mp3,easy
She went looking for her dog .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843873/audio_file/level01/01_652f2a7e-d.mp3,easy
We are against elephant hunting .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843876/audio_file/level01/01_9a689a8a-6.mp3,easy
I wish I knew who broke in to our house .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843877/audio_file/level01/01_b4981ff4-3.mp3,easy
I ca n't read all of these books .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843878/audio_file/level01/01_91b5c2b9-2.mp3,easy
The teacher loves picking on me .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843880/audio_file/level01/01_ac3eac83-f.mp3,easy
She sat at the table in front of ours .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843881/audio_file/level01/01_37380f90-2.mp3,easy
I have n't changed anything .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843882/audio_file/level01/01_80255794-2.mp3,easy
Would you hand me that white one ?,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843883/audio_file/level01/01_f36be433-7.mp3,easy
Have you just arrived ?,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843884/audio_file/level01/01_a2def40c-5.mp3,easy
She had a beautiful necklace around her neck .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843886/audio_file/level01/01_a8708acd-1.mp3,easy
John knew they were bad people .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843887/audio_file/level01/01_d870bce7-c.mp3,easy
Were there dogs at the park ?,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843888/audio_file/level01/01_b659ae08-9.mp3,easy
The trees planted last year look great .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843889/audio_file/level01/01_d5d6e840-7.mp3,easy
Can you keep a secret ?,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843890/audio_file/level01/01_03103738-3.mp3,easy
We went to look for food .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843893/audio_file/level01/01_3d2c9ee9-2.mp3,easy
Sitting for too long is a bad idea .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843894/audio_file/level01/01_92ee0eea-a.mp3,easy
Did you get what you wanted ?,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843895/audio_file/level01/01_749d14d6-1.mp3,easy
You must feel very sick .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843896/audio_file/level01/01_1f2cfe7b-a.mp3,easy
Pass me that football .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843897/audio_file/level01/01_d1ecee30-7.mp3,easy
They 've just asked her to stay another year .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843899/audio_file/level01/01_f14b65c1-5.mp3,easy
I was excited because Stella and I had 500 dollars to share between the two of us .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843905/audio_file/level01/01_d0e3fe92-6.mp3,easy
Have you seen my sneakers ?,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843907/audio_file/level01/01_00c7b5a0-e.mp3,easy
Mother was happy to finally get a new dog after Daisy died .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843908/audio_file/level01/01_5884d6ee-a.mp3,easy
I told you he could do it .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843909/audio_file/level01/01_ff5d4eaf-8.mp3,easy
My car was damaged in that parking lot .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843910/audio_file/level01/01_fea26569-8.mp3,easy
The food was brought on beautiful plates .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843911/audio_file/level01/01_e8fc2958-d.mp3,easy
Is it already 5 p. m.?,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843912/audio_file/level01/01_3b9b4cb6-8.mp3,easy
Gloria always wore very big earrings .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843914/audio_file/level01/01_71e973a7-9.mp3,easy
Every day he tells his wife not to worry but I know she does .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843915/audio_file/level01/01_b450784a-5.mp3,easy
I got bored at the beach .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843916/audio_file/level01/01_28482b96-4.mp3,easy
Let 's wait in front of the store .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843917/audio_file/level01/01_cf82d7fd-a.mp3,easy
The soccer stadium was full of fans .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843918/audio_file/level01/01_f68073b0-a.mp3,easy
I 'd like to be a godmother .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843919/audio_file/level01/01_2653d98a-4.mp3,easy
There were many rabbits at the petting zoo .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843920/audio_file/level01/01_46182bf5-3.mp3,easy
I 'm looking for a carpenter .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843921/audio_file/level01/01_affca22a-d.mp3,easy
There were not many swimmers in the water .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843923/audio_file/level01/01_dc498874-a.mp3,easy
She was as beautiful as they said .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843924/audio_file/level01/01_af8c1e49-4.mp3,easy
Her hair was as soft as silk .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843925/audio_file/level01/01_28737733-a.mp3,easy
I have n't seen her since we were in high school together .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843927/audio_file/level01/01_9fb4367b-0.mp3,easy
They often liked doing things together .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843928/audio_file/level01/01_d7bb0a75-e.mp3,easy
Do you think you were changed by what you saw ?,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843929/audio_file/level01/01_727be445-b.mp3,easy
"If we were all alike , life would be boring .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773843930/audio_file/level01/01_fbf7fbcf-c.mp3,easy
I think that one is his .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843932/audio_file/level01/01_00f9587e-8.mp3,easy
She gave him a new cup .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843933/audio_file/level01/01_c2516e28-a.mp3,easy
I do n't know where I put my house keys last night .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843934/audio_file/level01/01_738cc83e-1.mp3,easy
We did n't want to wake the sleeping girls .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843936/audio_file/level01/01_babca2df-4.mp3,easy
Her smile told me everything I needed to know .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843937/audio_file/level01/01_b9d62856-8.mp3,easy
It 's hard to tell if these are my socks or his .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843938/audio_file/level01/01_7d3529ed-1.mp3,easy
Have you seen it already ?,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843940/audio_file/level01/01_7d809722-9.mp3,easy
"If she had known , she 'd have stayed .",https://res.cloudinary.com/dcz6avkds/video/upload/v1773843941/audio_file/level01/01_7f20ac43-8.mp3,easy
There will be war .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843942/audio_file/level01/01_b7ee9c88-5.mp3,easy
My mother calls every weekend .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843943/audio_file/level01/01_b8e34750-4.mp3,easy
It is as hot as the desert .,https://res.cloudinary.com/dcz6avkds/video/upload/v1773843944/audio_file/level01/01_8c643430-2.mp3,easy
