sentence,options,answer,difficulty,question_type
carry on,MATCHING_PAIR,continue,easy,MATCHING
eat out,MATCHING_PAIR,eat at a restaurant,easy,MATCHING
give up,MATCHING_PAIR,stop doing sth you do regularly,easy,MATCHING
join in,MATCHING_PAIR,"participate, take part",easy,MATCHING
send off,MATCHING_PAIR,"make a player leave a game (eg, football)",easy,MATCHING
take up,MATCHING_PAIR,"start (a hobby, sport, etc)",easy,MATCHING
turn down,MATCHING_PAIR,lower the volume of,easy,MATCHING
turn up,MATCHING_PAIR,increase the volume of,easy,MATCHING
I waited outside the tennis club for,MATCHING_PAIR,"a long time, but George didn't appear.",easy,MATCHING
"When you rang, I was in",MATCHING_PAIR,the middle of cleaning my football boots.,easy,MATCHING
We finally got to the stadium just in,MATCHING_PAIR,time to see the match start.,easy,MATCHING
I just play football for,MATCHING_PAIR,"fun, and I don't want to do it as a job.",easy,MATCHING
I loved that film and when it comes out,MATCHING_PAIR,"on DVD, I'll definitely get it.",easy,MATCHING
It's great to appear on,MATCHING_PAIR,"stage, with all the audience clapping.",easy,MATCHING
cross out,MATCHING_PAIR,draw a line through sth written,easy,MATCHING
look up,MATCHING_PAIR,"try to find information in a book, etc",easy,MATCHING
point out,MATCHING_PAIR,tell sb important information,easy,MATCHING
read out,MATCHING_PAIR,say sth out loud which you are reading,easy,MATCHING
rip up,MATCHING_PAIR,tear into pieces,easy,MATCHING
rub out,MATCHING_PAIR,remove with a rubber,easy,MATCHING
turn over,MATCHING_PAIR,turn sth so the other side is towards you,easy,MATCHING
write down,MATCHING_PAIR,write information on a piece of paper,easy,MATCHING
get in(to),MATCHING_PAIR,enter a car,easy,MATCHING
get off,MATCHING_PAIR,leave a bus/train/etc,easy,MATCHING
get on(to),MATCHING_PAIR,enter a bus/train/etc,easy,MATCHING
get out (of),MATCHING_PAIR,leave a car/building/room/etc,easy,MATCHING
go away,MATCHING_PAIR,leave a place/sb,easy,MATCHING
go back (to),MATCHING_PAIR,return (to),easy,MATCHING
set off,MATCHING_PAIR,start a journey,easy,MATCHING
take off,MATCHING_PAIR,leave the ground,easy,MATCHING
As the plane took,MATCHING_PAIR,"off, I held my mum's hand tightly.",easy,MATCHING
"The door is open, so you can get",MATCHING_PAIR,"in the car, if you like.",easy,MATCHING
We were in a hurry and when we got,MATCHING_PAIR,"on the bus, I realised I didn't have a ticket.",easy,MATCHING
The man selling the tickets told us to go,MATCHING_PAIR,away and come back again later.,easy,MATCHING
It was raining when we set,MATCHING_PAIR,"off on our walk, but it soon stopped.",easy,MATCHING
We loved the hotel so we went,MATCHING_PAIR,back there the following year.,easy,MATCHING
Ray fell as he was getting,MATCHING_PAIR,off the bus and couldn't walk properly.,easy,MATCHING
The taxi driver asked us to get,MATCHING_PAIR,out on the right because it was safer.,easy,MATCHING
bring up,MATCHING_PAIR,take care of a child until he or she becomes an adult,easy,MATCHING
fall out (with),MATCHING_PAIR,have an argument with sb and stop being friends,easy,MATCHING
get on (with),MATCHING_PAIR,have a good relationship (with),easy,MATCHING
go out with,MATCHING_PAIR,be the boyfriend/girlfriend of,easy,MATCHING
grow up,MATCHING_PAIR,become older (for children),easy,MATCHING
let down,MATCHING_PAIR,disappoint,easy,MATCHING
look after,MATCHING_PAIR,take care of,easy,MATCHING
split up,MATCHING_PAIR,end a relationship,easy,MATCHING
add up,MATCHING_PAIR,find the total of,easy,MATCHING
come back (from),MATCHING_PAIR,return (from),easy,MATCHING
